G1,G2,G3,G4,G5,G7,G9,G10,G11,G12,G15,G16,G22,G23,G24,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G112,G113,G114,G115,G120,G121,G122,G123,G128,G129,G130,G131,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180,G181,G182,G183,G184,G185,G186,G188,G191,G206,G210,G211,G212,G213,G214,G215,G216,G217,G218,G219,G220,G221,G222,G223,G227,G228,G231,G232,G233,G234,G235,G236,G237,G238,G239,G240,G241,G242,G243,G244,G245,G246,G247,G251,G252,G256,G257,G258,G259,G260,G261,G262,G263,G264,G265,G266,G267,G268,P
Kadur,Bungbaruh,"7,27","13,87","250,0",1.0,"6,0","6,0","21,0","6,0",0.0,9,9.0,1.0,7.0,2.198,2.466,4.664,"89,1",4.664,1.346,"641,5","3,5",311.0,339.0,490.0,360.0,309.0,315.0,331.0,336.0,363.0,325.0,307,254,224,400,4.664,2.591,2.683,5.274,"96,6",336.0,385.0,349.0,281.0,429.0,417.0,400,391,423.0,373.0,1.49,2,0,2,0,4,4,0,0,0,1,3,4,0,0,0,0,2,2,0,1,1,0,0,0,1,1,1,1,2,0,0,2,2.0,12.0,21.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,56.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,658.0,67,725.0,"90,76",194,464.0,658.0,"29,48",95,0.0,0.0,99.0,194.0,464.0,464.0,28,39,67,1.506,0,0,1.506,0,0,0,0,0,7,0,16,0,0,    ,1,    ,3,1,4,2,4,4,0,0,0,0,0,0,0,"  78,49 "
Kadur,Sokolelah,"3,33","6,35","76,0",1.0,"3,0","3,0","19,0","3,0",1.0,10,10.0,1.0,6.0,931.0,1.084,2.015,"85,9",2.015,676.0,"605,1","3,0",138.0,132.0,112.0,88.0,146.0,145.0,167.0,135.0,130.0,96.0,151,132,159,284,2.015,1.029,1.128,2.157,"91,2",101.0,130.0,165.0,115.0,129.0,129.0,158,159,202.0,160.0,709.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1.0,6.0,10.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,291.0,39,330.0,"88,18",79,212.0,291.0,"27,15",40,0.0,0.0,39.0,79.0,212.0,212.0,30,9,39,842.0,0,0,842.0,0,1,0,0,0,26,0,10,0,0,  ,1,  ,3,0,4,2,4,4,0,0,0,0,0,0,0,"  93,56 "
Kadur,Gagah,"1,55","2,96","81,0",1.0,"4,0","4,0","17,0","4,0",1.0,5,5.0,1.0,5.0,463.0,517.0,980.0,"89,6",980.0,373.0,"632,3","2,6",82.0,43.0,68.0,37.0,85.0,67.0,90.0,60.0,79.0,29.0,101,89,80,70,980.0,482.0,497.0,979.0,"97,0",45.0,52.0,72.0,45.0,70.0,74.0,62,86,90.0,69.0,314.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1.0,6.0,12.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,125.0,28,153.0,"81,70",35,90.0,125.0,"28,00",15,0.0,0.0,20.0,35.0,90.0,90.0,14,14,28,355.0,0,0,355.0,0,0,0,0,0,18,0,7,0,0,  ,1,  ,3,1,4,1,4,4,0,0,0,0,0,0,0,"  90,24 "
Kadur,Kertagena Laok,"2,72","5,19","93,0",1.0,"5,0","5,0","20,0","5,0",0.0,10,10.0,1.0,7.0,1.302,1.467,2.769,"88,8",2.769,1.136,"1.018,0","2,4",150.0,174.0,173.0,180.0,182.0,169.0,209.0,176.0,227.0,213.0,220,217,155,324,2.769,1.401,1.533,2.934,"91,4",161.0,178.0,177.0,161.0,188.0,212.0,196,180,241.0,193.0,1.047,2,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,2,0,2,2.0,12.0,24.0,240.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,50.0,0.0,0.0,0.0,0.0,1.0,7.0,15.0,152.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,4,4,4,4,1,1,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,226.0,43,269.0,"84,01",88,138.0,226.0,"38,94",45,0.0,0.0,43.0,88.0,138.0,138.0,16,27,43,1.161,0,0,1.161,0,1,0,1,0,34,0,17,0,0,    ,1,    ,3,0,4,2,4,4,0,0,0,0,0,0,0,"  78,44 "
Kadur,Kertagena Tengah,"4,58","8,74","250,0",1.0,"6,0","6,0","23,0","6,0",0.0,9,9.0,1.0,7.0,1.784,2.045,3.829,"87,2",3.829,1.161,"836,0","3,3",197.0,220.0,270.0,230.0,286.0,298.0,288.0,299.0,228.0,316.0,290,290,220,397,3.829,1.94,2.17,4.11,"89,4",210.0,257.0,236.0,202.0,293.0,297.0,311,376,340.0,319.0,1.269,4,0,4,0,0,0,0,2,2,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,1,1,1,1,2,0,0,2,4.0,24.0,47.0,302.0,0.0,0.0,0.0,0.0,2.0,6.0,15.0,96.0,1.0,6.0,15.0,34.0,1.0,3.0,13.0,81.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,393.0,65,458.0,"85,81",152,241.0,393.0,"38,68",0,0.0,0.0,152.0,152.0,241.0,241.0,22,43,65,1.268,0,0,1.268,0,0,0,0,0,25,0,30,0,0,   ,1,   ,3,1,4,2,4,4,0,0,0,0,0,0,0,"  89,41 "
Kadur,Kertagena Daya,"3,51","6,69","322,0",1.0,"7,0","7,0","25,0","7,0",0.0,6,6.0,1.0,7.0,1.265,1.341,2.606,"94,3",2.606,782.0,"742,5","3,3",193.0,191.0,247.0,156.0,202.0,161.0,187.0,197.0,176.0,210.0,152,167,139,228,2.606,1.393,1.408,2.801,"98,9",148.0,202.0,217.0,145.0,238.0,230.0,215,191,215.0,207.0,793.0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1.0,10.0,6.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,4,4,4,4,4,1,4,4,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,325.0,25,350.0,"92,86",138,187.0,325.0,"42,46",0,0.0,0.0,138.0,138.0,187.0,187.0,10,15,25,798.0,0,0,798.0,1,0,0,0,7,27,0,26,0,0,    ,1,    ,3,1,4,2,4,4,0,0,0,0,0,1,0,"  78,30 "
Larangan,Peltong,"1,65","4,04",96,1.0,"4,0","3,8","13,0","3,0",0.0,4,4.0,1.0,5.0,623.0,647.0,1270.0,"96,3",1270.0,392.0,"769,7","3,2",98.0,92.0,89.0,86.0,95.0,82.0,123.0,114.0,110.0,109.0,87,64,51,70,1270.0,768.0,782.0,1.55,"98,2",119.0,108.0,109.0,95.0,119.0,131.0,120,107,134.0,137.0,371.0,4,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1.0,6.0,13.0,118.0,0.0,0.0,0.0,0.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4,1,4,4,4,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,,,,136.0,29,165.0,"82,42",48,88.0,136.0,"35,29",0,0.0,0.0,48.0,48.0,129.0,140.0,,,,5.568,0,0,5.568,0,0,0,0,0,21,0,4,0,0,,1,,1,0,5,2,4,4,0,0,0,0,0,0,0,"  84,12 "
Larangan,Trasak,"2,45","6,00",98,1.0,"3,0","3,3","8,0","1,0",0.0,7,7.0,1.0,9.0,1.71,1.836,3546.0,"93,1",3546.0,1.055,"1.447,3","3,4",245.0,241.0,235.0,275.0,270.0,298.0,290.0,310.0,255.0,237.0,243,220,161,266,3546.0,1.79,1.924,3.714,"93,0",236.0,282.0,265.0,200.0,249.0,293.0,292,315,312.0,306.0,964.0,2,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,2,2.0,15.0,23.0,282.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,197.0,48,245.0,"80,41",44,153.0,197.0,"22,34",0,0.0,0.0,44.0,44.0,129.0,140.0,,,,879.0,0,0,879.0,0,0,0,0,1,15,1,13,0,0,,1,,1,2,5,1,4,4,0,0,0,0,0,0,0,"  95,37 "
Larangan,Tentenan Barat,"0,53","1,30",91,1.0,"4,0","3,0","7,1","0,5",2.0,3,3.0,1.0,5.0,618.0,698.0,1316.0,"88,5",1316.0,342.0,"2.483,0","3,8",97.0,110.0,90.0,94.0,83.0,103.0,117.0,112.0,89.0,66.0,108,88,80,79,1316.0,598.0,661.0,1.259,"90,5",74.0,94.0,95.0,88.0,88.0,88.0,68,111,111.0,114.0,328.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1.0,6.0,10.0,178.0,0.0,0.0,0.0,0.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,4,4,4,4,4,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,41.0,12,53.0,"77,36",2,39.0,41.0,"4,88",0,0.0,0.0,2.0,2.0,129.0,140.0,,,,659.0,0,0,659.0,0,0,0,0,0,7,1,3,0,0,,1,,1,0,5,1,4,3,0,0,0,0,0,0,0,"  94,01 "
Larangan,Tentenan Timur,"0,54","1,32",92,1.0,"2,0","4,0","9,0","0,1",0.0,3,3.0,1.0,5.0,841.0,852.0,1693.0,"98,7",1693.0,322.0,"3.135,2","5,3",115.0,114.0,129.0,190.0,209.0,132.0,115.0,130.0,125.0,100.0,100,80,77,77,1693.0,668.0,700.0,1.368,"95,4",81.0,124.0,103.0,80.0,103.0,96.0,103,119,109.0,107.0,343.0,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,0.0,12.0,20.0,216.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,22.0,1.0,4.0,8.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,1,2,4,4,4,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,,39.0,15,54.0,"72,22",4,36.0,40.0,"10,00",0,0.0,0.0,4.0,4.0,129.0,140.0,,,,1.552,0,0,1.552,2,0,0,0,0,12,0,9,0,0,,1,,1,0,5,1,4,4,0,0,0,0,0,1,0,"  91,92 "
